     T1       T2	              array	               list
                	  N Fault TimeFault	  N Fault TimeFault
0.0 1.0  0.0 1.0	 1.67704%  1.64938%	 0.51594%  0.51329%
0.0 1.0  0.0 2.0	 0.23980%  0.23922%	 0.04853%  0.04855%
0.0 1.0  0.0 4.0	 0.18794%  0.18759%	 0.63169%  0.62772%
0.0 1.0  0.0 6.0	 0.22345%  0.22395%	 0.52762%  0.52485%
0.0 2.0  0.0 1.0	 1.06241%  1.07382%	 0.27108%  0.27182%
0.0 2.0  0.0 2.0	 0.22336%  0.22386%	 3.19078%  3.09212%
0.0 2.0  0.0 4.0	 0.94551%  0.95454%	 1.38850%  1.40805%
0.0 2.0  0.0 6.0	 0.06180%  0.06176%	 0.81572%  0.82243%
0.0 4.0  0.0 1.0	 1.07106%  1.08265%	 1.39596%  1.37674%
0.0 4.0  0.0 2.0	 0.53470%  0.53757%	 0.82442%  0.83127%
0.0 4.0  0.0 4.0	 0.79154%  0.78532%	 0.29946%  0.29857%
0.0 4.0  0.0 6.0	 0.44310%  0.44114%	 2.50467%  2.44347%
0.0 6.0  0.0 1.0	 0.49605%  0.49852%	 1.04019%  1.02948%
0.0 6.0  0.0 2.0	 0.31183%  0.31086%	 0.11379%  0.11366%
0.0 6.0  0.0 4.0	 0.76944%  0.77541%	 1.13228%  1.11960%
0.0 6.0  0.0 6.0	 0.07805%  0.07811%	 0.04812%  0.04814%
